Sentence,Sentiment,TestRandomSentiment,TestVaderSentiment,TestKerasSentiment
thought go head every headache hope go away soon,0,1,1,-1
suck thunder im get ready shut,-1,-1,-1,-1
saw xmen origin sat far best xmen movie amaze,1,-1,1,1
bgt senior good good enough,0,1,1,1
hmph order phone dont bb want office,0,1,-1,-1
home work relax,1,-1,1,1
baby help math,1,0,1,0
happy friday pull yummy garden hope strawberry turn still,0,0,1,1
happy day,1,-1,1,1
morning everybody,0,1,0,0
picture ross,0,-1,0,0
nice page nobody buying word love,1,1,1,1
phone tonight cook sell ticket,-1,-1,0,0
almost get face fall asleep sick suck,-1,1,-1,-1
allergic,-1,0,-1,-1
sent call back message x,0,0,0,0
bore,-1,0,-1,-1
haha love surprise dont work til sunday tho wait,1,0,1,1
wont town email another one though,0,1,0,0
soooo full im start feel sick,-1,0,-1,-1
im stuck traffic jam somewhat start situation every day thats sad really,-1,0,-1,-1
cant vote u mtv movie award vote button cause live sweden wan na vote u u rock xo,0,-1,1,0
happy may bank holiday peep,1,0,1,1
go race ill see eric,0,-1,-1,0
everyone pas challenge test duh,0,0,1,0
think shes get sick,-1,1,-1,-1
trip zoo today,0,1,0,0
wish happy fabulous mother day,1,0,1,1
noooo ill miss much go prom high school middle school dance help _,-1,1,-1,-1
love half day wasnt rain soccer practice,1,0,1,1
ah youve see either way get experience sound shock wave vacuum space heh,0,0,-1,0
would yes cant wait bb love heard theyre show hr live stream year though,1,1,-1,1
flip go doc,-1,1,0,-1
great night,1,0,1,1
like go front behind box,0,1,1,0
oh god bless,1,-1,1,1
checkin get fever cnt sleep,-1,1,0,-1
finally eat ive save agh realize band play bear garden today one like,1,0,1,1
wake morning way,0,0,0,0
dont feel good,-1,0,-1,-1
found,-1,-1,0,0
hehe thanks advice choose shoe three hard,1,0,1,1
agree take little find way cant imagine work wo,0,-1,1,0
pool fun without tim,-1,1,1,1
glorious weather poor,0,0,1,0
really disappointed whole girl thing congrats success think waste talent,0,-1,1,0
still work,0,0,0,0
time much week day school time nyc cant wait last day school,1,1,0,0
cut slice cheese cake make everything well,1,0,0,1
today go slow time drag,-1,0,-1,-1
finally get lil monster hand could run errand get ta rain,0,1,1,0
hey sorry late leave min,-1,0,-1,-1
hi miss,0,1,-1,-1
head home long week wish someone would follow,1,1,1,1
actually play keyboard lol played st bday earlier im spin,0,1,1,0
hi th,0,-1,0,0
new blog comment likey,1,0,0,0
u feel much u cant say hi likey u,-1,1,0,-1
wow ive join photography scene pretty recently large format make even interest,1,-1,1,1
go go london week change ticket would right,0,0,0,0
tweet phone,0,1,0,0
boo miss age get internet back ill try fix haha like act time time,0,0,1,-1
sad shin get wasnt alex,-1,1,-1,-1
never get,0,0,0,0
ha fun think part season morrow night,1,1,1,1
mom ok far miss,-1,1,1,-1
almost say bless sneeze cat,1,-1,1,0
dont judge tonight repeat,0,0,0,0
see go,0,1,0,0
yeah think touch something mike sore throat dammit knew go,-1,-1,-1,-1
goodmorning,1,-1,0,1
brother bc take wear clothes without ask want punch,-1,0,-1,0
really poor would painful cant old many u,-1,-1,-1,-1
want go back,0,0,1,0
course,0,1,0,0
go great amount apps ready though yet,1,-1,1,1
want like,0,0,1,0
right second gig guess water focus job,1,0,0,1
good end busy day im bed full belly sushi,1,0,1,1
go act school,1,0,0,0
get phone call ask vote lead front phone number connection,0,0,1,0
happy mother day later cant wait see concert lol well ima see day like,1,-1,1,1
watch room cant wait go home go first,0,1,0,0
turn day get new u edition go could one day look like fox,0,-1,1,-1
also want th miss much get roomy,-1,0,-1,-1
upload new video,0,-1,0,0
need read lose,0,0,-1,0
love tooooo need make shirt say something cool say,1,1,1,1
broke didnt even get chance use,-1,1,-1,-1
yeah ill go tomorrow morning get picked early sunday see reason go whole weekend,0,-1,-1,0
saw korean movie make park movie isnt hard good,0,0,-1,-1
go find girl bebo cant find fail bebo stalk,-1,1,1,-1
get well omg still dont believe picture soo sad dont im gon na see u,-1,-1,-1,-1
soooo sad,-1,1,-1,-1
dream hang friend good woke werent,0,0,1,0
good luck c,1,0,1,1
get attack club,-1,1,-1,-1
long movie well thought awesome job im pleased,1,1,1,1
look forward tonight dinner date mom afternoon start less rice,0,0,0,0
feel like im go cough lung,-1,1,1,-1
like james series thats movie,1,0,1,1
nice,1,1,1,1
get back house,0,-1,0,0
week wasnt without adam performance,0,-1,0,0
sleep song x,0,1,0,0
alright say wine fool maybe dont like drinking,-1,-1,-1,0
two page assignment weekend go chance relaxation,-1,1,1,1
new issue want flick much itll wait,-1,0,1,-1
shock feel sick happy,0,-1,-1,-1
cup cake sooo yummy would coffee u know lead,1,0,1,1
cant wait see pic,0,0,0,0
good morning fabulous morning,1,-1,1,1
thanks much ff one today,1,0,1,1
know would love see lie believe writer,1,-1,1,1
haha love,1,-1,1,1
arent u famous already lol adore fan fan would anything hehehe im fan,1,1,1,1
parent decide drop whole family house work,-1,1,-1,0
still class even assembly,-1,-1,0,0
im work starve,-1,-1,-1,-1
omg little kid cancer saddest thing ever,-1,1,-1,-1
weather report week make happy perfect run weather,1,-1,1,1
guess im twitter,0,0,0,0
pray family,0,0,1,0
vacation look forward next one,1,1,0,0
assignment due midnight professional write class really wish already do luv write thought id like,1,0,1,1
soon go look go fun,1,-1,1,1
wish everyone bless beautiful mother day,1,-1,1,1
broke christian played batman,-1,1,-1,-1
steam fashion show anime north first year since arent back til miss,-1,-1,1,-1
look found twitter,0,0,0,0
request send ur contact info everything didnt sync old ur info haha date,0,1,1,0
let play russian,0,-1,1,0
thanks im addict lately ive bought soooo much,1,-1,1,1
dang want beach late night thats best sound wave well,1,-1,1,1
matt first bat fly,0,1,0,0
good mood mama away si cant talk either boy cant see weekend plan,-1,-1,1,-1
thanks review today feel like idk anything anyways r u,1,1,1,1
ha thats good thats love boy co never red everyone love city,1,1,1,1
happy mom day u well many come,1,1,1,1
omg tony hawk motion nintendo d suck,-1,0,-1,-1
dont know,0,0,0,0
meant ask night go enjoy,1,0,1,1
hey im facebook come check tell ur username add,0,-1,0,0
politics watch hockey,0,0,0,0
havent clue twitter,0,0,0,0
feel really weird,-1,0,-1,-1
cant stop cough,-1,1,1,-1
well happy mother day,1,-1,1,1
sorry saw tweet totally let im sorry babe work till boooooo,-1,1,-1,-1
doesnt feel good cant miss work tomorrow,-1,0,-1,-1
felt nice stay outside long definitely get burn season though,-1,1,1,1
oooh ok thought lose,0,-1,-1,-1
happy star war day may th,1,1,-1,1
headache kill yet need cover boring police event,-1,0,-1,-1
sent u direct message there mail,0,1,0,0
celebrity,0,1,0,0
sweet im try earn crown free baking,1,1,1,1
desktop win boot time laptop w win boot time desktop day,0,-1,1,0
sure ill chat sec here thread,0,1,-1,0
towel guide,0,1,0,0
ugh much happen today really need hug,-1,1,1,-1
nothing much man wait insurance card come cant get wo,0,0,0,0
sux told go id work cant go,0,-1,-1,-1
miss puppy,-1,-1,-1,-1
sorry ali,-1,1,-1,-1
need see band live blink come uk year anyone wan na go see billy,0,-1,0,0
wrap work spending night flash intro,0,-1,0,0
try direct message twitter,0,0,0,0
go get car inspection sticker get red r one keep pile take dont worry ill ok,1,-1,1,1
last sunday go home,0,0,0,0
hurt much cant even gum ive lose much weight cant even eat,-1,0,-1,-1
yes would pretty creepy think bit think want sell icecream,0,0,1,0
true get bad burn today dont forget,-1,0,0,-1
happy mother day ur mom tc,1,-1,1,1
oh wait read wrong ok,0,-1,-1,-1
hi nice meet,1,-1,1,1
still boo,0,1,0,0
postpone abandon,0,-1,-1,0
look model beauty shoot thursday valley studio contact interested,0,0,1,0
ok get nail do day sweet,1,1,1,1
support student,1,0,1,0
teeth checked eye im die coffee cant drink hour,-1,0,-1,-1
come,0,-1,0,0
could get work paid r per l,0,0,0,0
always miss dont,-1,-1,-1,-1
great song,1,1,1,1
funny sit external keyboard mouse macbook bed look strange comfortable,1,0,1,1
im home alone house imma scar x,-1,1,-1,-1
hey feel horrible,-1,-1,-1,-1
congratulation phil complete london marathon x shin u x,1,0,1,1
happy mother day,1,0,1,1
go ride perfect night go chill,1,-1,1,1
yeah good,1,0,1,1
hey twitter hows go let u know day go,0,-1,0,0
ten minute shopping demi around demi line see trailer really good,1,1,-1,1
sooo u gon cheat tell everybody twitter dont know trust anymore jk,-1,0,-1,-1
miss want talk anthony,-1,-1,-1,-1
great day,1,-1,1,1
oh get ill would bit mean call chicken youre,-1,-1,-1,0
exhaust hour work week,-1,-1,-1,-1
omg amaze twist crazy awesome movie,1,-1,1,1
look forward yummy dinner kate even,1,0,1,1
say gots mom digital picture frame bout scan pic wedding n stuff,0,0,0,0
beer excellent excuse earlier sweat god know much look forward work tomorrow,-1,1,1,-1
good heart say doctor except doctor wont tuesday afternoon put write,0,0,1,0
till eurovision united kingdom voting,0,-1,1,0
look stuff mine today,0,-1,0,0
aha yeah else fails push yeah dont know time leave yet though,-1,1,1,-1
mmm comfort junk food sound good always prefer,1,1,1,1
look beautiful heck mama business woman,0,-1,1,1
dont believe puppy like,1,1,-1,-1
ed,0,-1,0,0
already get ticket concert philippine im excite,1,1,1,1
unfortunately everything close pm sweden friday presentation monday,0,1,-1,-1
think prize end sorry hear though,-1,-1,1,-1
day hour work id really like job fabulous b,1,1,1,1
blackberry curve take screen day get invisible stock well itll good,0,-1,1,0
good two appointment go,1,0,1,1
yo mom day today big mom behave,1,1,0,1
fair ask cd etc suggest never even email back,-1,1,1,-1
poor kitty there nothing do hopefully youll least able find good home,1,0,-1,0
rain,0,1,0,0
true admit pretty funny im bout go tube lol,1,-1,1,1
oh yes quite nice photoshop start painting,1,1,1,1
one favourite weekend long weekend monday im ice show w,1,1,0,1
miss baby,-1,-1,-1,-1
ten hour ago sleep sorry,-1,1,-1,-1
sleep soo good woke like min ago n get sick feel great wan na go back sleep im wide awake,-1,1,1,-1
ive iphone get melt chocolate speaker cant hear ring,0,1,0,0
last day work tend,0,-1,0,0
still wait beer least he happy come,1,0,1,1
could never one child look happen nina sp drew,0,-1,0,0
yep ah dont wan na leave warm get hot guess ill make wo,-1,1,1,-1
good start day left money home ill hot day look free,-1,1,1,0
spongebob sing long mom give jonas brother,0,-1,0,0
great wonderful first day,1,0,1,1
friday whole different meaning work saturday sunday,0,0,0,0
friend mine meet today cant wait turn,1,0,1,0
math amaze hell time part fine,0,-1,-1,0
cant seem access city due internet problem,-1,1,-1,-1
finally get twitter let hope make good use site,1,-1,1,1
hahaha didnt even notice name,1,0,1,0
woke day need go work suck also go dentist fill st scan,-1,-1,-1,-1
twitterberry wont work friend,0,-1,-1,-1
slowly get ready work,0,1,1,0
episode season love chuck bass who go short stack film next sat im make flag,1,1,1,1
awww yes love im totally finish buffalo hit new,1,-1,1,1
hey girl yeah bunch havent start download totally owe,1,1,1,1
happy mother day mommy love best,1,1,1,1
fish feel pain yes say new study,0,1,-1,-1
nothing friday night,0,-1,0,0
finish st new song soon youtube keep update,0,-1,0,0
im,0,-1,0,0
agree cycling event tomorrow,-1,1,-1,0
watch gon na grand day,1,0,1,0
bed finger toe everything cross u pick hope ur well get back jon,0,-1,1,1
missin bro,-1,-1,0,-1
wt glad hear though miss watch outside day,1,0,1,0
make sad,-1,0,-1,-1
thanks kelly mean lot figure apt thing yet,1,1,1,1
mouth hurt stupid,-1,0,-1,-1
im sorry bad drive experience,-1,1,-1,-1
research couldnt find thing wan na drive,-1,0,0,0
edward hahaha,0,0,1,0
yeah love one doesnt really matter,0,1,1,0
one welcome new,1,-1,1,1
invite sent invite pas word around,0,1,1,0
might drive way ill get one,0,0,-1,0
new th july weekend,0,0,0,0
realize last night idea go move hope lose go forever,0,1,1,1
u ahhh im gon na miss u lol,0,-1,1,-1
ya know,0,-1,0,0
still gutted man lose,-1,1,-1,-1
tonight ughhh,-1,0,0,-1
happy mother day beautiful mom im kind mom think little pup count,1,-1,1,1
thank hope great rest day afternoon coffee yet,1,-1,1,1
yay happy mother day fb,1,1,1,1
dont remember cause watch many youtube lol get back,0,-1,1,0
indeed plenty joke lie bed hop go free im jury service tomorrow,1,1,1,1
da new n da way homie lol,1,1,1,0
thank much im glad like,1,0,1,1
maybe wednesday,0,-1,0,0
morning dont ask im early,0,1,0,0
weird really want harry potter bed spread pillow wish could find one wasnt,-1,-1,1,-1
ï½ c bonus leave,0,1,1,0
least youre get closer normal bedtime enjoy trip keep u update sweet dream,1,-1,1,1
yes didnt follow,-1,0,1,0
check q right,0,-1,0,0
holy stay late book do author box,-1,-1,0,0
ok thats true plus youre say im ive try cheer,-1,1,1,1
hey web url look good,1,-1,1,-1
im hop pill something cuz im gon na go nut,1,0,0,1
mobile doesnt like,-1,0,-1,-1
piss,-1,0,-1,-1
saw week diet sugar rice potato much want sugar,0,1,1,0
fun wish mum happy mother day u,1,1,1,1
party show next week,0,1,1,0
havent awhile point anyways,-1,1,0,0
get home hospital another leg,-1,0,0,-1
die friday afternoon,1,1,-1,-1
hi nice meet new twitter guess,1,-1,1,1
u far know hee hee think year first,0,-1,0,0
success lucas first police contact neighborhood cruise egg cream shave love son he hero,1,1,1,1
ouch burn make soup,-1,1,0,-1
im hungry cant eat anything right tongue hurt bad,-1,1,-1,-1
play today talk cake get ready yard sale tomorrow look forward,-1,1,1,0
tix deal nkotb seat price nkotb date,0,1,0,0
rip great mini crab,1,-1,1,-1
yes get return lead another also want know ur mad,0,0,-1,1
hahaha secret door real,0,0,1,0
freeze rain,0,0,1,-1
im bad understand thing know,-1,1,-1,-1
please come paul area look schedule dont see anything close anytime soon,0,0,1,0
think annoy keep get twitter error message mobile,-1,0,-1,-1
drive tiny,0,0,0,0
listen work,0,1,0,0
work work work,0,0,0,0
best sunday,1,1,1,1
im tire,-1,-1,0,-1
free ice cream though,-1,1,1,0
well ask day ago say money thing hold back saturday something,0,1,1,0
im tire gloomy summer,-1,1,-1,-1
let hope pray go way let hope pray go way,1,0,1,1
ive finish th year argh uni go soooooo quick,0,0,0,-1
ive give question thought u may right one host provide hd quality maybe,1,1,0,0
lol cute btw happy mother day lady,1,-1,1,1
want grape juice,0,-1,1,0
sooo,0,0,0,0
great find,-1,1,1,1
bad word lead tattoo hahahaha,0,1,-1,0
vega w team,0,-1,0,0
damnit sorry hear dude,-1,0,-1,-1
ha ha thank,1,-1,1,1
back hospital doc say ill live,1,0,-1,-1
look new sm send solution get ï½ free sm every,0,-1,1,0
wish garden could bbq tonight might set lounge bbq type thing thatll work,1,-1,1,1
eat sleep draw part test iï½m part,0,0,0,0
hows head morning,0,0,0,0
beating heat tea try,0,1,-1,0
officially miss heart hand partner one dance tonight come home,-1,-1,1,-1
argh twitter didnt post reply tweet age aint much enjoy sun,1,1,-1,1
oh man suck hardcore haha good luck finish record,0,1,1,0
god bless u hope rest weekend,1,-1,1,1
charity football save sent u,1,-1,1,1
twas interview much private chat,0,1,0,0
btw ear get well time finally say goodnight twitter world even though yall already asleep xoxo,1,0,1,1
th update,0,1,0,0
rofl okay dont know still isnt,0,-1,1,0
work miss could barely amazingly good time,0,1,1,0
th tweet go wo id one talk morning lol,0,1,1,0
play around fun little kid right hahahahaha,1,1,1,1
youre welcome,1,-1,1,1
would love talk live england unfair,0,-1,1,0
im fine bit tire im glad weekend,1,-1,1,0
well look exam french exam feel morning revision,1,1,1,0
way take photo park,0,0,0,0
thank much,1,-1,1,1
thats mess ill look next week,-1,-1,-1,-1
love gossip girl episode con,1,-1,1,1
believe man die car wreck today right road happen still car,-1,1,-1,-1
come back home honey,-1,1,0,0
sure thing,0,0,1,0
still sad,-1,0,-1,-1
omg much pain,-1,0,-1,-1
pick daughter appear pick like like bad parent,-1,-1,-1,-1
hour cant go back sleep get work sigh sigh,-1,-1,1,-1
movie weekend ive watch movie far,0,0,0,0
come end first shift local,0,1,0,0
maybe help dont know though ask,0,0,1,0
actually im suppose w dad cousin cousin trouble though never get together,-1,1,-1,-1
bbq today,0,1,0,0
oh okay every often get random taste blood mouth make go eww blood haha,0,-1,1,-1
thanks find amuse picture tonight make even via,1,0,1,1
omg today felt like last day school horrible,-1,-1,-1,-1
shoot smh prayer family,-1,0,-1,-1
yeah make great noise house good time worth part,-1,0,1,1
yeah back work get bad,1,0,-1,-1
want buy amber death daughter today,0,-1,-1,0
lol havent make anything yet ive spread supply din room table,0,0,1,0
think found purse budget,0,1,1,0
happy bank holiday,1,0,1,1
ur nice miss mum,0,-1,1,0
today mother birthday happy birthday love angel help much time life,1,0,1,1
watch liverpool v newcastle game yesterday,1,0,1,1
lol army rule meant broken get job do thats get,-1,-1,1,-1
wow thats quite trip,0,1,1,1
last school day tomorrow day ever also really sad ow im get ready go phil,0,1,1,-1
wish go st girl tomorrow,1,0,1,1
found go u august get tire flight good either,-1,0,1,-1
hey link didnt work,-1,1,0,0
oh do wrong signing time ur childrens article neil tease bea,-1,-1,-1,0
know thats recommend,1,0,1,0
sad completely week nyc trip,-1,1,1,-1
awww wonder ima get married cute,1,-1,1,1
hour later im still bad allergy life shoot engagement session field last night,-1,1,-1,-1
cant dm arent follow,0,0,0,0
nothing yet still let sure lunch next week,1,-1,1,0
thing parent best friend,0,-1,1,1
saw painting tweet around last week didnt,0,1,0,0
thanks download trial version work good advice,1,-1,1,1
note self never ever leave macbook pro stupid fell,-1,-1,-1,-1
iï½m sorry,-1,-1,-1,-1
accident try fix top,-1,1,-1,-1
keep try youll get right last time,1,0,0,0
hey negative handle tube longer hero,-1,1,0,-1
finish dinner yummy,1,0,1,1
feel hubby saw swing set think piece junk thought found something good kid,0,1,1,0
please dont change anything site love always love even please pretty please,1,0,1,1
blast past nt must suck badly school,-1,1,-1,-1
get ready school wonderful day,1,1,1,1
cuz u go nap lmao,-1,1,1,0
write event manage aint much dont,0,-1,0,-1
ever come across something reminds alot one person completely broke heart cause,-1,-1,-1,-1
get do watch bedtime story love movie,1,-1,1,1
oh im sorry suck hard,-1,-1,-1,-1
listen track holiday never thought id see bing black face rest movie cute,1,0,1,1
worried friend,-1,0,1,-1
time,0,0,0,0
send blog r feed site send traffic site,0,1,0,0
dad told music power heal soul sure true,1,-1,1,1
yes act really though find entertain,0,-1,1,1
drive work run late like always time starbucks,0,-1,1,0
dont agree,0,1,-1,0
rain one reason stay snuggle,0,-1,0,0
found die heart attack morning barely miss u,-1,0,-1,-1
add butt name phone make go home cold love,1,1,1,1
school work,0,0,0,0
sorry ive type usually ive something wont read ill press enter button,-1,1,1,-1
hiding couch know im get ready leave isnt happy,-1,1,-1,-1
go back home want see ya b u leave homie,0,-1,0,0
seriously parent non stop week weekend san diego miss,-1,-1,-1,-1
_d awww glad know little sweet update,1,0,1,1
know inside station thats anything there nothing u,0,0,1,0
thought healthy conversation,-1,1,1,-1
miss everyone tonight,-1,-1,-1,-1
yeah youve get someone take job degree,1,-1,1,0
sigh stayed late cause role w im tire eye r sting head hurt still need word,-1,1,-1,-1
game cent hot dog haha,-1,1,1,-1
still plenty food left thanks come cant wait see picture come,1,-1,1,1
like idea go cinema monday,0,1,1,0
dont like dress,-1,-1,-1,-1
im happy,-1,-1,1,1
gon na go shower goin see hannah montana woo well excite,1,0,1,1
thee lady get retard,-1,0,-1,0
wow must tire fell asleep exactly start pm news,-1,1,1,-1
im anime store go crazy stuff wish money,0,1,1,0
take nap sleep right nap felt soooo good seem like bad idea,0,1,1,0
happy day mom,1,-1,1,1
might hav cost u history essay,0,0,0,0
yay go dinner family tonight,0,0,1,1
great night friend,1,1,1,1
leg soft watch move short day,1,1,0,0
happy mother day mum twitter,1,1,1,1
well poop guitar lesson cancel today im sad hope son feel well soon tho,0,0,1,0
miss friend much,-1,-1,1,-1
change picture soo screw assignment due tomorrow havent start cant concentrate argh,-1,0,-1,-1
course provide info could want football club,0,-1,1,0
look miss couple hour im sorry ill let know next time,-1,0,-1,-1
day yesterday probably today wish take top need help haha hot,0,0,1,1
school today gd dont get see mate n x,0,0,0,0
didnt anyone know anyway ok today football today,0,1,1,0
relax like translate get take look next comment,1,0,1,1
get back gym wan na chat new people let talk haha,0,-1,1,0
want go shopping tomorrow work buy thing know want,0,0,1,0
like last part,1,0,1,0
back mountain,0,-1,0,0
last time get name,0,-1,0,0
hahaha yay cool,1,0,1,1
day,0,0,0,0
p thought gon na follow back,0,1,0,0
envy everyone,1,0,-1,-1
go two way mirror,0,1,0,0
mandy wont let vote want win cant help gon na jump bridge kid sux,0,1,0,0
study,0,-1,0,0
want wish mom happy mother day,1,1,1,1
ok lol think might date,1,1,1,0
smile guy turn speaker good,1,0,1,1
want move qld already cold weather kill,-1,-1,-1,-1
ok finish set u free sooooo mad rite cant end like dont want bad guy,-1,1,1,-1
ok change give good dude,-1,1,1,1
sunny send,0,0,1,0
think need drink,0,0,0,0
know hop meet tonite found min ago friend h,0,0,1,0
bore tear without boy dad week,-1,-1,-1,-1
use,0,0,0,0
never anything tv sunday cant wait america,0,0,0,0
god ill never end study french till oclock night ever much sleepy,-1,1,-1,-1
come im uber successful im make mistake im make new one,-1,1,1,-1
change hp number go online msn see,0,0,1,0
actually hot today sun get hat every one get tan except,-1,-1,0,-1
thanks feedback life oil,1,-1,1,1
well ran beer left sure wait wait wait bleh gon na long nite methinks,-1,0,1,-1
thanks itll great even well soon get wallet little hand lol,1,1,1,1
list paid get cant go gettin hot go outside,0,-1,0,0
well do blood hot,0,-1,1,0
soon back replace email twitter setting,0,0,0,0
mad traffic,-1,0,-1,-1
nose head pound teeth hurt like man feel awful,-1,0,-1,-1
international version stand,0,-1,0,0
live dat life,1,1,1,0
make want cry,-1,1,-1,-1
yeah talk boring,-1,1,0,-1
yeh cant even imagine good luck,1,1,1,1
happy mommy day mother world,1,0,1,1
want go see dont want go mom brother,-1,0,1,0
ooh coffee great idea want one,1,-1,1,1
need pas exam,0,0,0,0
star trek imax brian george,0,1,0,0
totally agree there way avoid,0,1,1,0
could barely speak probably think say sorry please x,-1,-1,-1,-1
tough thick,-1,1,-1,-1
college friend,0,0,1,0
im gon na minute sunday cant come hear ya,-1,-1,0,0
work away hopefully stay nice afternoon even possible bbq weather,1,1,1,1
nothing like alone time device,1,-1,-1,0
back later happy mother day mother world ï½ god love u,1,0,1,1
isnt happy fact back hurt today,-1,-1,-1,-1
may th,0,-1,0,0
feel special first guy give flower,1,-1,1,0
goodnight,1,-1,0,1
hurt finger work,-1,-1,-1,-1
rachel appear best look model theyve year,1,0,1,1
bed gon na read new moon little late night night,0,1,0,0
push start long new starwarsday baby born,0,0,0,0
happy mother day love mom,1,1,1,1
like,1,0,1,0
dude cmon thats almost,0,1,0,0
ill visit ny til september,0,-1,-1,0
way jordan house o,0,1,0,1
hehe true youve get color advantage complete american havent,0,0,1,0
good morning hun promise glad like em lovely day,1,0,1,1
pm friday night im go bed pathetic,-1,0,-1,-1
thank advice ill work im work,1,1,-1,1
new twitter friend say follower,0,-1,1,0
mum cake do need make good tomorrow amaze mum day,1,0,1,1
definitely ready plate pancake,1,-1,1,1
saw,0,-1,0,0
im get close,0,1,0,0
im sad sad sad thought aunty come look forward miss dat im alone maui,-1,1,-1,-1
july st mean concert wont know song oh well yay demi,0,-1,1,0
im get even sad im currently library j think itll last one tooooo,-1,-1,-1,-1
party amaze headache,0,1,1,0
work awake still hour,0,1,0,0
hi get could write something today im gon na go shopping soo fun,1,0,1,1
fantastic question already teacher pet,1,-1,1,1
oh stink,-1,1,-1,-1
clean laundry nail paint productive saturday night,1,1,1,1
sometimes plug fix problem,1,1,-1,-1
lovely day sky clear bird sing im stuck office window hour,0,1,1,0
downtown drinking celebrate cavs,1,-1,1,1
one take earlier week,0,0,0,0
cant figure hour new moon trailer since cant watch mtv movie award paris,0,-1,1,0
p get ben button today best picture great year,1,1,1,1
yes like vids,1,1,1,0
heh move house cheer band,0,0,1,1
best friend away special say gon na bring,1,0,1,1
well suck good way make feel bad,0,1,-1,-1
big bos week small yay free lunch office today big yay,0,1,1,1
already c office people melt fight air con fan dont help cant find budget,-1,0,-1,0
spent entire morning meeting w bos happy w lot fun plan morning,0,-1,1,0
love movie miss,0,0,1,0
car garage come anytime soon last time heard problem still wait quote,-1,-1,-1,-1
always feel wake well get busy day ahead,0,0,1,-1
sun attempt increase effort ala say see bath couch book future,-1,-1,1,-1
booo tease piece cheese,0,1,-1,0
lonely day,0,-1,-1,-1
wtf pic isnt show,-1,1,-1,-1
ahh poor,-1,0,-1,-1
happy mom day everyone u,1,1,1,1
nearly forgot pin shouldnt try learn anything new future l push,-1,0,1,-1
twitter eat gun dont even goin nothin need stay strong,0,1,1,0
im french dont teacher one hour left til school end,-1,0,0,0
good drank hot asian girl foot bad remind never get asian girl ever,0,-1,-1,0
think theyre really good probably damn,1,1,1,0
dont know yet lem know come something though,0,0,0,0
idea im friend piss dont know hate much need help britney plz,-1,-1,1,-1
ugh headache wan na go home,-1,1,-1,-1
yes minute sims plus season fun fun,1,-1,1,1
go chem ii good class feel like,-1,-1,1,-1
hard feeling hope like say think agree,1,1,1,-1
aww dude fair thought point thing,-1,0,1,-1
screw,-1,0,-1,-1
clearly need crack,-1,1,1,-1
south look like business bad,-1,1,-1,0
headache,-1,-1,0,-1
happy mother day x mum love,1,-1,1,1
take hour nap work today wont able sleep night bummer,0,0,-1,-1
strike one three im,-1,1,-1,0
job hunt day medium job lucky anyone know anything,0,1,1,0
yes ily,1,-1,1,1
help course,0,1,1,1
really want buy new clothes,0,-1,1,0
hahah know love hannah montana movie,1,-1,1,1
mcfly age z,0,0,0,0
another long walk heat hate,-1,1,-1,-1
like,1,1,1,0
aw sorry cat worry blanket wonder im rush take time,0,1,-1,0
know maybe someday youll come home find gasp dinner fridge,0,1,0,0
wan na see everyone want see,0,1,1,0
finally dinner sushi,0,0,0,0
end go left knee kill think push much yesterday,-1,0,-1,-1
woke five hour nap still headache time,-1,-1,0,-1
feel ng,-1,0,0,-1
text family comin ive get money come anyway xxxx,0,1,0,0
round base fast relay fast game,0,0,0,0
thats great im happy gon na leg celebrate haha,1,1,1,1
ya prob dont want,-1,-1,-1,0
dont uk say,0,-1,0,0
look great,1,0,1,1
im impressed almost always rain bank holiday free day college,-1,1,1,-1
mess cross bit get call,-1,-1,-1,-1
clean follower list block girl look like spammer,-1,1,-1,-1
one south florida mow around could hurt,0,-1,-1,0
would watch cinema sure effect worth unless monster tv home,1,0,1,1
dumb keep lose follower,-1,1,-1,-1
havent ben n sorry im bac hit,-1,1,1,-1
try bing today australia yet,0,-1,0,0
plan even dinner shopping dress shirt watch go bed plan saturday funeral friend,0,0,1,0
leave morning catch pa st im excite miss p last year make sad owl,0,-1,-1,0
didnt include follow friday,0,1,0,0
im andrew long fun day,1,1,1,1
afternoon office move system mine one te survive good system,1,0,1,1
least hugh happy trail,1,0,1,1
pic wont load twitter,-1,-1,0,0
glad happy,1,-1,1,1
look okay think something bit hat sound like need lactose,0,1,1,0
hell awake early,-1,1,-1,0
actually study today,0,-1,0,0
man tha earlier get feelin type funny hope dont get sick,-1,-1,1,0
oops spent much already lol go,-1,-1,1,-1
thing suck holiday worry pet cat cat wont much company,-1,1,-1,-1
fly abandon nest start gon na b tough,-1,1,1,-1
thank google aussie dollar wasnt strong,1,1,-1,1
fear long earth highway smoke,-1,0,-1,-1
sound awesome wish could go way could afford fun,1,-1,1,1
ahh dont like rain really friend comin goin gran,0,0,1,0
battery low palm spring ca,-1,-1,-1,-1
ive mum get attic wont let yes hehe,-1,1,-1,0
thats great hug,1,-1,1,1
thanks ff wink,1,1,1,1
day,-1,0,0,0
see morning rush forum fly,-1,0,0,-1
u really dont right sick freezer x,-1,1,1,0
bad im company,-1,0,-1,-1
great night hangin family mom dad love extra company tonight cant wait tomorrow,1,-1,1,1
noooo little piggy ill vote anyway need hang soon pls hug,0,-1,1,0
get thru watchin bone top house,0,1,1,0
bore day one talk miss bf kiss almost dont wan na go back,-1,1,1,-1
yup day old,0,1,0,0
